	NFKB1	TNIP2
14270	GRK2	SNCA
14271	GRK2	NFKBIA
14272	GRK2	SNCG
14273	GRK2	AGTR1
14274	GRK2	HSP90AB1
14275	GRK2	MSN
14276	GRK2	ARRB1
14277	GRK2	PTCH1
14278	GRK2	CTR9
14279	GRK2	MAPK8
14280	GRK2	EGFR
14281	GRK2	PRKACA
14282	GRK2	PTPRF
14283	GRK2	GNAQ
14284	GRK2	PRKCD
14285	GRK2	MAPK1
14286	GRK2	SRC
14287	GRK2	EDNRB
14288	GRK2	EZR
14289	GRK2	MAPK3
14290	GRK2	RXRB
14291	GRK2	EPHA2
14292	GRK2	MDM2
14293	GRK2	MAPK7
14294	MAPK10	MAPK8IP1
14295	MAPK10	EZR
14296	MAPK10	MAP2K7
14297	MAPK10	TCF3
14298	MAPK10	RCAN1
14299	MAPK10	DDX5
14300	MAPK10	MAP2K6
14301	MAPK10	MAPK8IP2
14302	MAPK10	CCNB1
14303	MAPK10	SHC1
14304	MAPK10	CREBBP
14305	MAPK10	CDKN1A
14306	MAPK10	JUN
14307	MAPK10	MAP2K4
14308	MAPK10	TP53
14309	MAPK10	MAPK9
14310	MAPK10	ATF2
14311	MAPK10	CEBPB
14312	MAPK10	MAPKAPK2
14313	MAPK10	MAPKBP1
14314	MAPK10	MAP2K3
14315	MAPK10	ARRB2
14316	MAPK10	CDKN1B
14317	MAPK10	MYC
14318	MAPK10	HSF1
14319	MAPK10	ARRB1
14320	MAPK10	SLC9A1
14321	MAPK10	MAPK8IP3
14322	MAPK10	DUSP16
14323	MAPK10	APLP2
14324	MAPK10	HNRNPK
14325	MAPK10	ETS1
14326	MAPK10	BCL2L11
14327	MAPK10	CDKN2C
14328	MAPK10	STMN1
14329	MAPK10	NR3C1
14330	MAPK10	FOS
14331	MAPK10	ZFP36
14332	MAPK10	MSN
14333	MAPK10	SNTA1
14334	MAPK10	HDAC9
14335	MAPK10	CDK5
14336	MAPK10	RELA
14337	MAPK10	MCL1
14338	MAPK10	IRS1
14339	MAPK10	TTC19
14340	MAPK10	DUSP10
14341	MAPK10	MYLK
14342	MAPK10	JUND
14343	PRMT5	SLC25A4
14344	PRMT5	PHF5A
14345	PRMT5	OLA1
14346	PRMT5	CDC37
14347	PRMT5	WDR5
14348	PRMT5	EZH2
14349	PRMT5	DYNC1H1
14350	PRMT5	HNRNPU
14351	PRMT5	NCBP1
14352	PRMT5	SIRT1
14353	PRMT5	SLU7
14354	PRMT5	SIN3A
14355	PRMT5	DHX9
14356	PRMT5	STUB1
14357	PRMT5	MYBBP1A
14358	PRMT5	COPRS
14359	PRMT5	PRMT1
14360	PRMT5	LNX1
14361	PRMT5	RBBP4
14362	PRMT5	IGF2BP1
14363	PRMT5	IPO9
14364	PRMT5	HSP90AB1
14365	PRMT5	RPS13
14366	PRMT5	RELA
14367	PRMT5	SIRT6
14368	PRMT5	SREBF1
14369	PRMT5	TP53
14370	PRMT5	PABPC1
14371	PRMT5	SMARCB1
14372	PRMT5	SKI
14373	PRMT5	MYSM1
14374	PRMT5	AGO1
14375	PRMT5	PHB2
14376	PRMT5	CUL3
14377	PRMT5	SF3B1
14378	PRMT5	SMARCC1
14379	PRMT5	RPS3
14380	PRMT5	MAGOH
14381	PRMT5	JAK2
14382	PRMT5	SHC1
14383	PRMT5	ARRB1
14384	PRMT5	TCF3
14385	PRMT5	ARID1A
14386	PRMT5	GTF2F1
14387	PRMT5	TERF1
14388	PRMT5	WWOX
14389	PRMT5	CLK3
14390	PRMT5	AGO3
14391	PRMT5	CSNK1E
14392	PRMT5	UBE2Q2
14393	PRMT5	CLK1
14394	PRMT5	ZDHHC17
14395	PRMT5	HNRNPF
14396	PRMT5	ATP1A1
14397	PRMT5	TUBB
14398	PRMT5	JAK3
14399	PRMT5	MBD2
14400	PRMT5	RPS27L
14401	PRMT5	ACTL6A
14402	PRMT5	EIF2S1
14403	PRMT5	SMARCC2
14404	PRMT5	DDX20
14405	PRMT5	RPS6
14406	PRMT5	CUL4A
14407	PRMT5	ARRB2
14408	PRMT5	VCP
14409	PRMT5	SSTR1
14410	PRMT5	EIF2B4
14411	PRMT5	ING2
14412	PRMT5	PIK3C3
14413	PRMT5	RPS3A
14414	PRMT5	DST
14415	PRMT5	TRIM21
14416	PRMT5	RUVBL2
14417	PRMT5	SMARCD3
14418	PRMT5	AHSA1
14419	PRMT5	SNRNP70
14420	PRMT5	SYNE1
14421	PRMT5	NCL
14422	PRMT5	SUPT5H
14423	PRMT5	DHCR7
14424	PRMT5	SYNCRIP
14425	PRMT5	JAK1
14426	PRMT5	FBXO6
14427	PRMT5	YBX1
14428	PRMT5	WDR77
14429	PRMT5	SLC25A13
14430	PRMT5	DNMT3A
14431	PRMT5	FN1
14432	PRMT5	MEF2D
14433	PRMT5	AGO4
14434	PRMT5	RPS15A
14435	SLC25A4	SLC25A13
14436	SLC25A4	MCM2
14437	SLC25A4	WDR77
14438	SLC25A4	RPS3
14439	SLC25A4	HSP90AB1
14440	SLC25A4	NR3C1
14441	SLC25A4	SIRT1
14442	SLC25A4	SKI
14443	SLC25A4	PPIF
14444	SLC25A4	RUVBL2
14445	SLC25A4	RPS3A
14446	SLC25A4	AR
14447	SLC25A4	GALNT2
14448	SLC25A4	ATP6V0D1
14449	SLC25A4	MRPL58
14450	SLC25A4	PCNT
14451	SLC25A4	TCF3
14452	SLC25A4	NFKBIA
14453	SLC25A4	PRKCE
14454	SLC25A4	CLN3
14455	SLC25A4	ATP1A1
14456	SLC25A4	EIF2B4
14457	SLC25A4	BAX
14458	SLC25A4	SRC
14459	SLC25A4	RPS27L
14460	SLC25A4	CLN5
14461	SLC25A4	IPO9
14462	NEDD4	RPS3A
14463	NEDD4	UBE2D2
14464	NEDD4	CASP7
14465	NEDD4	SKP1
14466	NEDD4	UBE2E1
14467	NEDD4	MGRN1
14468	NEDD4	RPS6KB1
14469	NEDD4	SLC23A2
14470	NEDD4	SMAD7
14471	NEDD4	CDK5
14472	NEDD4	NDFIP2
14473	NEDD4	FGFR1
14474	NEDD4	DDX54
14475	NEDD4	SMAD6
14476	NEDD4	ERBB3
14477	NEDD4	TBC1D7
14478	NEDD4	ABL2
14479	NEDD4	THRAP3
14480	NEDD4	TP73
14481	NEDD4	ARRB1
14482	NEDD4	TNK2
14483	NEDD4	SMAD3
14484	NEDD4	SCNN1G
14485	NEDD4	BECN1
14486	NEDD4	UBE2D1
14487	NEDD4	BRCA2
14488	NEDD4	PTEN
14489	NEDD4	SLC9A1
14490	NEDD4	CPSF6
14491	NEDD4	ABCB1
14492	NEDD4	STK25
14493	NEDD4	RAPGEF6
14494	NEDD4	URI1
14495	NEDD4	SLC11A2
14496	NEDD4	RAPGEF2
14497	NEDD4	CASP3
14498	NEDD4	MDM2
14499	NEDD4	SAV1
14500	NEDD4	TEAD2
14501	NEDD4	LATS1
14502	NEDD4	RBX1
14503	NEDD4	SCNN1B
14504	NEDD4	MARK2
14505	NEDD4	CCNH
14506	NEDD4	KCNQ1
14507	NEDD4	SLC38A3
14508	NEDD4	YY1
14509	NEDD4	PLK2
14510	NEDD4	SMAD1
14511	NEDD4	KIF26B
14512	NEDD4	UBE2D3
14513	NEDD4	GRIN2D
14514	NEDD4	SRC
14515	NEDD4	ARRB2
14516	NEDD4	DMD
14517	NEDD4	RANBP10
14518	NEDD4	SGK2
14519	NEDD4	FGFR2
14520	NEDD4	FLT1
14521	NEDD4	SIVA1
14522	NEDD4	RNF11
14523	NEDD4	UBAP2L
14524	NEDD4	MAP2
14525	NEDD4	RBCK1
14526	NEDD4	TNIK
14527	NEDD4	BAIAP2
14528	NEDD4	EGFR
14529	NEDD4	SMARCC1
14530	NEDD4	SULF1
14531	NEDD4	YES1
14532	NEDD4	ASPSCR1
14533	NEDD4	KIFC3
14534	NEDD4	CBLB
14535	NEDD4	UBE2M
14536	NEDD4	RNF7
14537	NEDD4	CPSF1
14538	NEDD4	TTYH3
14539	NEDD4	ANXA9
14540	NEDD4	IRS1
14541	NEDD4	MAP3K5
14542	NEDD4	FBXL15
14543	NEDD4	POLR3A
14544	NEDD4	NSRP1
14545	NEDD4	NDFIP1
14546	NEDD4	YOD1
14547	NEDD4	UBE2L3
14548	NEDD4	AKT1
14549	NEDD4	CAMKK2
14550	NEDD4	ARID1A
14551	NEDD4	SPRY1
14552	NEDD4	EPS15
14553	NEDD4	TP53BP2
14554	NEDD4	SMURF2
14555	NEDD4	MAP3K3
14556	NEDD4	HNRNPK
14557	NEDD4	SNCA
14558	NEDD4	JUN
14559	NEDD4	FLT4
14560	NEDD4	BMPR1A
14561	NEDD4	CSNK1D
14562	NEDD4	STK4
14563	NEDD4	PYM1
14564	NEDD4	CLK3
14565	NEDD4	SPRY2
14566	NEDD4	TBK1
14567	NEDD4	RAP2A
14568	NEDD4	FYN
14569	NEDD4	SYK
14570	NEDD4	TRPV6
14571	NEDD4	HNRNPU
14572	NEDD4	NFE2
14573	NEDD4	RPS6KA4
14574	NEDD4	LATS2
14575	NEDD4	SMAD5
14576	NEDD4	DIAPH1
14577	NEDD4	TSG101
14578	NEDD4	SMAD2
14579	NEDD4	PTCH1
14580	RPS3A	GTPBP4
14581	RPS3A	U2AF2
14582	RPS3A	MAD2L1
14583	RPS3A	VHL
14584	RPS3A	PHB2
14585	RPS3A	PABPC1
14586	RPS3A	SCYL2
14587	RPS3A	MCM2
14588	RPS3A	C18orf32
14589	RPS3A	RPS26
14590	RPS3A	TUBG1
14591	RPS3A	MCF2L
14592	RPS3A	ANXA1
14593	RPS3A	SF3B1
14594	RPS3A	PPM1G
14595	RPS3A	UPF1
14596	RPS3A	RACK1
14597	RPS3A	CEP250
14598	RPS3A	NOLC1
14599	RPS3A	ANXA2
14600	RPS3A	HNRNPU
14601	RPS3A	EIF3E
14602	RPS3A	YBX1
14603	RPS3A	CREB3
14604	RPS3A	RPS6KB2
14605	RPS3A	ARRB1
14606	RPS3A	HNRNPF
14607	RPS3A	CD81
14608	RPS3A	DHX9
14609	RPS3A	TUBB
14610	RPS3A	EIF3A
14611	RPS3A	SNRNP200
14612	RPS3A	PINX1
14613	RPS3A	WDR77
14614	RPS3A	PYM1
14615	RPS3A	ARRB2
14616	RPS3A	TP53
14617	RPS3A	DHRS2
14618	RPS3A	VDAC1
14619	RPS3A	VIM
14620	RPS3A	HNRNPM
14621	RPS3A	HUWE1
14622	RPS3A	RPS14
14623	RPS3A	HSPA8
14624	RPS3A	KIF11
14625	RPS3A	MCC
14626	RPS3A	TARDBP
14627	RPS3A	DDX20
14628	RPS3A	SYNE1
14629	RPS3A	ICAM1
14630	RPS3A	DHCR7
14631	RPS3A	MYBBP1A
14632	RPS3A	NCL
14633	RPS3A	ENO1
14634	RPS3A	ZC3H3
14635	RPS3A	NENF
14636	RPS3A	RPS27L
14637	RPS3A	TRAF6
14638	RPS3A	RPA1
14639	RPS3A	DDX5
14640	RPS3A	SRPK1
14641	RPS3A	CUL3
14642	RPS3A	HNRNPA1
14643	RPS3A	RUVBL2
14644	RPS3A	PARP1
14645	RPS3A	FN1
14646	RPS3A	SMAD2
14647	RPS3A	RPA2
14648	RPS3A	IGF2BP1
14649	RPS3A	CEP57
14650	RPS3A	HNRNPH1
14651	RPS3A	GNAI2
14652	RPS3A	RPS19
14653	RPS3A	NFKB2
14654	RPS3A	AGO4
14655	RPS3A	PHF5A
14656	RPS3A	ANXA6
14657	RPS3A	RNF2
14658	RPS3A	RPS3
14659	RPS3A	SYNCRIP
14660	RPS3A	SOD2
14661	RPS3A	RPS13
14662	RPS3A	VDAC3
14663	RPS3A	CBX8
14664	RPS3A	HSP90AB1
14665	RPS3A	OBSL1
14666	RPS3A	DDIT3
14667	RPS3A	RICTOR
14668	RPS3A	RPS6
14669	RPS3A	MAP3K14
14670	RPS3A	VCP
14671	RPS3A	PCBP2
14672	RPS3A	AHSA1
14673	RPS3A	RPS15A
14674	HNRNPAB	TP63
14675	HNRNPAB	SYNCRIP
14676	HNRNPAB	HNRNPU
14677	HNRNPAB	ATG12
14678	HNRNPAB	PPP2R1A
14679	HNRNPAB	DEDD2
14680	HNRNPAB	RPA1
14681	HNRNPAB	CUL4A
14682	HNRNPAB	MCM2
14683	HNRNPAB	FBXW11
14684	HNRNPAB	RPA2
14685	HNRNPAB	PAK1
14686	HNRNPAB	DROSHA
14687	HNRNPAB	OBSL1
14688	HNRNPAB	CUL3
14689	HNRNPAB	CUL4B
14690	HNRNPAB	POLR3D
14691	HNRNPAB	SGO1
14692	HNRNPAB	YBX1
14693	HNRNPAB	PTBP1
14694	HNRNPAB	EZH2
14695	HNRNPAB	TARDBP
14696	HNRNPAB	RNF2
14697	HNRNPAB	USP19
14698	HNRNPAB	EED
14699	HNRNPAB	FN1
14700	HNRNPAB	HNRNPH1
14701	HNRNPAB	EIF4EBP1
14702	HNRNPAB	SNAP23
14703	HNRNPAB	NFKBIA
14704	HNRNPAB	HNRNPA1
14705	HNRNPAB	PTBP2
14706	HNRNPAB	VHL
14707	TP63	RACK1
14708	TP63	UBE4B
14709	TP63	BRD8
14710	TP63	VCP
14711	TP63	SUMO1
14712	TP63	TP53BP2
14713	TP63	ATM
14714	TP63	TP73
14715	TP63	CDT1
14716	TP63	IGF2BP1
14717	TP63	AGO2
14718	TP63	PML
14719	TP63	SATB2
14720	TP63	PPP2R5A
14721	TP63	PPP1R13L
14722	TP63	CEBPB
14723	TP63	IKBKB
14724	TP63	PIWIL1
14725	TP63	KAT2B
14726	TP63	AGO1
14727	TP63	EP300
14728	TP63	WT1
14729	TP63	DAXX
14730	TP63	ADH5
14731	TP63	CHUK
14732	TP63	PINX1
14733	TP63	UACA
14734	TP63	SYNCRIP
14735	TP63	HSP90AB1
14736	TP63	UPF2
14737	TP63	HIPK2
14738	TP63	DHX9
14739	TP63	CENPE
14740	TP63	HNRNPK
14741	TP63	TP53
14742	TP63	YAP1
14743	TP63	SAFB
14744	TP63	RPS6KB1
14745	TP63	WWOX
14746	TP63	SMAD2
14747	TP63	RELA
14748	TP63	WWP1
14749	TP63	JAG1
14750	TP63	GOLGA4
14751	TP63	RCHY1
14752	TP63	SMAD3
14753	TP63	CARM1
14754	TP63	MDM2
14755	TP63	UBASH3A
14756	TP63	PPP1R13B
14757	TP63	MDM4
14758	TP63	DNAJB6
14759	TP63	ITCH
14760	TP63	STK11
14761	TP63	RNF144B
14762	TP63	BECN1
14763	TP63	CPSF6
14764	SMARCC2	ADNP
14765	SMARCC2	SMAD3
14766	SMARCC2	KDM5B
14767	SMARCC2	TSG101
14768	SMARCC2	SMAD2
14769	SMARCC2	WDR5
14770	SMARCC2	TAF1
14771	SMARCC2	CPSF6
14772	SMARCC2	ACTL6A
14773	SMARCC2	ING2
14774	SMARCC2	CHD7
14775	SMARCC2	ITSN1
14776	SMARCC2	SP1
14777	SMARCC2	CUL3
14778	SMARCC2	EED
14779	SMARCC2	MBD3
14780	SMARCC2	GTF2H1
14781	SMARCC2	RBBP7
14782	SMARCC2	RPA1
14783	SMARCC2	HDAC3
14784	SMARCC2	SMAD4
14785	SMARCC2	VDR
14786	SMARCC2	GTF2F1
14787	SMARCC2	CARM1
14788	SMARCC2	PSAP
14789	SMARCC2	EPAS1
14790	SMARCC2	NR3C1
14791	SMARCC2	SMARCD3
14792	SMARCC2	JUN
14793	SMARCC2	FOS
14794	SMARCC2	SMARCB1
14795	SMARCC2	SF3A1
14796	SMARCC2	TRIM33
14797	SMARCC2	SMARCA1
14798	SMARCC2	KDM1A
14799	SMARCC2	TRIM28
14800	SMARCC2	SMARCC1
14801	SMARCC2	RBM14
14802	SMARCC2	TOPORS
14803	SMARCC2	SART1
14804	SMARCC2	RNF2
14805	SMARCC2	PEX14
14806	SMARCC2	KMT2A
14807	SMARCC2	DCTN2
14808	SMARCC2	NOTCH1
14809	SMARCC2	MBD2
14810	SMARCC2	TERF1
14811	SMARCC2	SIN3A
14812	SMARCC2	MTA2
14813	SMARCC2	ING1
14814	SMARCC2	RBBP4
14815	SMARCC2	TAF6
14816	SMARCC2	EMD
14817	SMARCC2	SS18
14818	SMARCC2	RPA2
14819	SMARCC2	NOVA1
14820	SMARCC2	KPNA2
14821	SMARCC2	ARRB2
14822	SMARCC2	HSP90B1
14823	SMARCC2	NCOA3
14824	SMARCC2	MAP3K3
14825	SMARCC2	FOXN1
14826	SMARCC2	TBL1XR1
14827	SMARCC2	OBSL1
14828	SMARCC2	BRD7
14829	SMARCC2	RCOR1
14830	SMARCC2	CREBBP
14831	SMARCC2	TERF2IP
14832	SMARCC2	TOP2B
14833	SMARCC2	NCOR1
14834	SMARCC2	BAZ1B
14835	SMARCC2	EP300
14836	SMARCC2	AKT1
14837	SMARCC2	ARID1A
14838	SMARCC2	ATXN1
14839	SMARCC2	TFAP4
14840	SMARCC2	RBBP5
14841	SMARCC2	ITCH
14842	DNMT1	MBD3
14843	DNMT1	CXXC1
14844	DNMT1	RAD9A
14845	DNMT1	SETDB2
14846	DNMT1	POLD3
14847	DNMT1	DMAP1
14848	DNMT1	SP1
14849	DNMT1	SETD7
14850	DNMT1	AKT1
14851	DNMT1	CTBP1
14852	DNMT1	EZH2
14853	DNMT1	STAT3
14854	DNMT1	KDM1A
14855	DNMT1	SIRT1
14856	DNMT1	ENG
14857	DNMT1	RUNX1
14858	DNMT1	PARP1
14859	DNMT1	TCF3
14860	DNMT1	MECP2
14861	DNMT1	TRIM28
14862	DNMT1	RBBP4
14863	DNMT1	NRIP1
14864	DNMT1	MBD2
14865	DNMT1	KMT5A
14866	DNMT1	HSPA4
14867	DNMT1	HDAC3
14868	DNMT1	MYH14
14869	DNMT1	SUZ12
14870	DNMT1	EED
14871	DNMT1	DNMT3A
14872	DNMT1	GADD45A
14873	DNMT1	EHMT2
14874	DNMT1	DNMT3B
14875	DNMT1	RB1
14876	DNMT1	KAT5
14877	DNMT1	KMT2C
14878	DNMT1	TP53
14879	DNMT1	UHRF2
14880	DNMT1	DAXX
14881	DNMT1	MTA2
14882	DNMT1	SP3
14883	DNMT1	BAZ2A
14884	DNMT1	WT1
14885	DNMT1	EHMT1
14886	DNMT1	USP7
14887	DNMT1	TSG101
14888	DNMT1	ACVRL1
14889	DNMT1	DOT1L
14890	DNMT1	PTK2
14891	MBD3	IGBP1
14892	MBD3	JUN
14893	MBD3	TET1
14894	MBD3	KDM1A
14895	MBD3	DDX5
14896	MBD3	PDGFA
14897	MBD3	BCL6
14898	MBD3	SIN3A
14899	MBD3	SMC3
14900	MBD3	MTA2
14901	MBD3	WDR5
14902	MBD3	STAG2
14903	MBD3	CEP250
14904	MBD3	MECOM
14905	MBD3	BCL11A
14906	MBD3	CDK2AP1
14907	MBD3	TAB2
14908	MBD3	PARK7
14909	MBD3	MYC
14910	MBD3	PCNT
14911	MBD3	BAZ1B
14912	MBD3	POU5F1
14913	MBD3	RBBP4
14914	MBD3	RAB3IP
14915	MBD3	REL
14916	MBD3	SMC1A
14917	MBD3	KDM5B
14918	MBD3	PICK1
14919	MBD3	HNRNPM
14920	MBD3	KMT2A
14921	MBD3	SIN3B
14922	MBD3	TAF1
14923	MBD3	SMARCC1
14924	MBD3	RINT1
14925	MBD3	RARA
14926	MBD3	INO80
14927	MBD3	RCOR1
14928	MBD3	SDCBP
14929	MBD3	RBBP7
14930	MBD3	MBD2
14931	MBD3	RBBP5
14932	MBD3	TAF6
14933	MBD3	ARID1A
14934	MBD3	SMARCB1
14935	MBD3	TRIM54
14936	MBD3	APPL1
14937	MBD3	DDB1
14938	MBD3	EIF3A
14939	MBD3	ACTL6A
14940	DHX9	PHF5A
14941	DHX9	SYNE1
14942	DHX9	MAP3K14
14943	DHX9	RHOT2
14944	DHX9	EIF2AK2
14945	DHX9	HNRNPH1
14946	DHX9	EED
14947	DHX9	RELA
14948	DHX9	RBM15
14949	DHX9	ACTA1
14950	DHX9	PPP1CB
14951	DHX9	NOLC1
14952	DHX9	OBSL1
14953	DHX9	RRS1
14954	DHX9	RPA2
14955	DHX9	RPS14
14956	DHX9	SF3B1
14957	DHX9	RPS15A
14958	DHX9	CUL4B
14959	DHX9	NCL
14960	DHX9	TRAF6
14961	DHX9	HNRNPK
14962	DHX9	THRAP3
14963	DHX9	TARDBP
14964	DHX9	TIMM9
14965	DHX9	SRRT
14966	DHX9	UPF1
14967	DHX9	NCBP1
14968	DHX9	THOC3
14969	DHX9	APBB1
14970	DHX9	MBNL1
14971	DHX9	SNRNP200
14972	DHX9	MCM2
14973	DHX9	NFKB2
14974	DHX9	HNRNPU
14975	DHX9	HINFP
14976	DHX9	MDM2
14977	DHX9	HNRNPF
14978	DHX9	CIRBP
14979	DHX9	SNRNP70
14980	DHX9	WWOX
14981	DHX9	XRCC6
14982	DHX9	SRSF1
14983	DHX9	EIF6
14984	DHX9	RUVBL2
14985	DHX9	HNRNPM
14986	DHX9	HSP90AB1
14987	DHX9	XAB2
14988	DHX9	SF3A1
14989	DHX9	CUL4A
14990	DHX9	CEP250
14991	DHX9	SUZ12
14992	DHX9	THOC2
14993	DHX9	SF1
14994	DHX9	RPS6
14995	DHX9	BIRC2
14996	DHX9	MAP2
14997	DHX9	YBX3
14998	DHX9	EIF2B2
14999	DHX9	ABCB1
15000	DHX9	SCYL2
15001	DHX9	WDR77
15002	DHX9	THOC1
15003	DHX9	PRMT1
15004	DHX9	YBX1
15005	DHX9	THOC6
15006	DHX9	POLD1
15007	DHX9	PHB2
15008	DHX9	TNFRSF14
15009	DHX9	PPM1G
15010	DHX9	USP7
15011	DHX9	PINX1
15012	DHX9	PCBP2
15013	DHX9	IGF2BP1
15014	DHX9	SRSF9
15015	DHX9	SRPK1
15016	DHX9	SNW1
15017	DHX9	FBXW11
15018	DHX9	CPSF6
15019	DHX9	PABPC1
15020	DHX9	C18orf32
15021	DHX9	STAT6
15022	DHX9	THOC7
15023	DHX9	NAA15
15024	DHX9	MAPK13
15025	DHX9	PRPF19
15026	DHX9	VTN
15027	DHX9	AGO2
15028	DHX9	RPS3
15029	DHX9	MAP7
15030	DHX9	LUC7L3
15031	DHX9	DDX20
15032	DHX9	RPS6KB2
15033	DHX9	NMT1
15034	DHX9	FBXO6
15035	DHX9	JUN
15036	DHX9	RPA1
15037	DHX9	EIF2B3
15038	DHX9	SART1
15039	DHX9	PSEN1
15040	DHX9	GTPBP4
15041	DHX9	SYNCRIP
15042	DHX9	FN1
15043	DHX9	DDX39B
15044	DHX9	CDKN1A
15045	DHX9	PPIL2
15046	DHX9	DGCR8
15047	DHX9	RNF2
15048	DHX9	NCBP2
15049	DHX9	PRPF31
15050	DHX9	RPS26
15051	DHX9	RBM25
15052	DHX9	MAP3K1
15053	DHX9	MBD2
15054	DHX9	SRSF6
15055	DHX9	EMD
15056	DHX9	TFE3
15057	DHX9	CRNKL1
15058	DHX9	HNRNPA1
15059	DHX9	RTCB
15060	DHX9	ACIN1
15061	DHX9	DDX1
15062	DHX9	DHX38
15063	DHX9	DDX5
15064	DHX9	EZH2
15065	DHX9	MYBBP1A
15066	DHX9	RPS13
15067	DHX9	PRPF6
15068	DHX9	MCF2L
15069	DHX9	SLU7
15070	DHX9	CREBBP
15071	DHX9	ARF6
15072	DHX9	RPS27L
15073	DHX9	SON
15074	DHX9	FBXW4
15075	DHX9	THOC5
15076	DHX9	CUL3
15077	DHX9	U2AF2
15078	DHX9	DHCR7
15079	DHX9	CDK5
15080	DHX9	RAB5B
15081	TP53	KAT2A
15082	TP53	WWOX
15083	TP53	MAPK13
15084	TP53	MAPK1
15085	TP53	ING1
15086	TP53	HNRNPK
15087	TP53	SUMO2
15088	TP53	EGR1
15089	TP53	ITCH
15090	TP53	HDAC9
15091	TP53	MED17
15092	TP53	ANXA7
15093	TP53	FHL2
15094	TP53	CREBBP
15095	TP53	FOXP1
15096	TP53	PNP
15097	TP53	CTBP1
15098	TP53	HSPB1
15099	TP53	EHMT2
15100	TP53	POLA1
15101	TP53	CREB1
15102	TP53	HNF4A
15103	TP53	RBBP7
15104	TP53	PES1
15105	TP53	PTEN
15106	TP53	CEBPB
15107	TP53	MAPK7
15108	TP53	RCHY1
15109	TP53	XPC
15110	TP53	STUB1
15111	TP53	ATF3
15112	TP53	MYC
15113	TP53	CDK7
15114	TP53	RING1
15115	TP53	MTA2
15116	TP53	RPA1
15117	TP53	SRC
15118	TP53	PPP2R2A
15119	TP53	BCR
15120	TP53	SETD2
15121	TP53	BAIAP2L1
15122	TP53	HNRNPH1
15123	TP53	TRRAP
15124	TP53	STK11
15125	TP53	SQSTM1
15126	TP53	TAF5
15127	TP53	MNAT1
15128	TP53	PML
15129	TP53	NCOR1
15130	TP53	SMG1
15131	TP53	PPP1R13L
15132	TP53	BCL6
15133	TP53	RAB4A
15134	TP53	REV1
15135	TP53	TFAP2A
15136	TP53	OTUB1
15137	TP53	MDM2
15138	TP53	FBXO4
15139	TP53	DKK1
15140	TP53	NOTCH4
15141	TP53	ANXA3
15142	TP53	KAT2B
15143	TP53	NCOA2
15144	TP53	MUL1
15145	TP53	NMT1
15146	TP53	TFAP4
15147	TP53	RAD23A
15148	TP53	PRKACA
15149	TP53	SERPINB5
15150	TP53	TRIM28
15151	TP53	UBE3A
15152	TP53	LSM14A
15153	TP53	PPP4C
15154	TP53	IGF2BP1
15155	TP53	GSN
15156	TP53	CASP8
15157	TP53	RPS26
15158	TP53	BBC3
15159	TP53	TRIM32
15160	TP53	TNK2
15161	TP53	TXN
15162	TP53	SIN3A
15163	TP53	CUL4A
15164	TP53	ZBTB17
15165	TP53	TIMM50
15166	TP53	CHD8
15167	TP53	NUB1
15168	TP53	STAT6
15169	TP53	PSMC3
15170	TP53	WDR82
15171	TP53	APEX1
15172	TP53	AGO1
15173	TP53	SIN3B
15174	TP53	RRM2
15175	TP53	CARM1
15176	TP53	PRKCD
15177	TP53	KMT2C
15178	TP53	HMGB2
15179	TP53	UHRF2
15180	TP53	FBXW8
15181	TP53	DBN1
15182	TP53	HSPA4
15183	TP53	PPP3CA
15184	TP53	SRSF6
15185	TP53	AGT
15186	TP53	SYVN1
15187	TP53	OBSL1
15188	TP53	PIAS2
15189	TP53	HSP90AB1
15190	TP53	NCOA6
15191	TP53	DHRS4
15192	TP53	ANXA2
15193	TP53	MAPKAPK2
15194	TP53	NCOA3
15195	TP53	UCHL1
15196	TP53	RYBP
15197	TP53	USP7
15198	TP53	RB1
15199	TP53	HIF1A
15200	TP53	TAF5L
15201	TP53	TGFA
15202	TP53	TADA1
15203	TP53	NABP2
15204	TP53	KPNA2
15205	TP53	USP42
15206	TP53	PARP1
15207	TP53	THRAP3
15208	TP53	RBX1
15209	TP53	FOXC1
15210	TP53	KMT2E
15211	TP53	RB1CC1
15212	TP53	TRIAP1
15213	TP53	TAF6
15214	TP53	SIVA1
15215	TP53	HECTD3
15216	TP53	KMT5A
15217	TP53	TP53BP2
15218	TP53	HNRNPU
15219	TP53	VIM
15220	TP53	FOXQ1
15221	TP53	GADD45A
15222	TP53	BAG1
15223	TP53	RBBP4
15224	TP53	KAT7
15225	TP53	DDX5
15226	TP53	DAPK3
15227	TP53	HSPA2
15228	TP53	GTPBP4
15229	TP53	UBE2N
15230	TP53	SAE1
15231	TP53	DDB1
15232	TP53	ATM
15233	TP53	KPNA4
15234	TP53	SKI
15235	TP53	VRK1
15236	TP53	ABR
15237	TP53	AGO2
15238	TP53	PPP2R1A
15239	TP53	HIPK3
15240	TP53	SUPT3H
15241	TP53	TEP1
15242	TP53	GSTM4
15243	TP53	RPS19
15244	TP53	DAXX
15245	TP53	PSMC5
15246	TP53	TNFRSF10B
15247	TP53	PRKD1
15248	TP53	SETD7
15249	TP53	TUBG1
15250	TP53	SNAI1
15251	TP53	UBE2K
15252	TP53	RELA
15253	TP53	ASH2L
15254	TP53	CUL4B
15255	TP53	RBBP5
